ADMIN,Longitude,Latitude,LatLng
Jamaica,-77.31482593,18.15694878,"18.15694878,-77.31482593"
Jersey,-2.12689938,49.21837377,"49.21837377,-2.12689938"
Jordan,36.77136104,31.24579091,"31.24579091,36.77136104"
Japan,138.0308956,37.59230135,"37.59230135,138.03089558"
Siachen Glacier,77.18011865,35.39236325,"35.39236325,77.18011865"
Kazakhstan,67.29149357,48.15688067,"48.15688067,67.29149357"
Kenya,37.79593973,0.59988022,"0.59988022,37.79593973"
Kyrgyzstan,74.54165513,41.46221943,"41.46221943,74.54165513"
Cambodia,104.9069433,12.72004786,"12.72004786,104.90694325"
Kiribati,-45.61110513,0.86001503,"0.86001503,-45.61110513"
Saint Kitts and Nevis,-62.68755265,17.2645995,"17.2645995,-62.68755265"
South Korea,127.8391609,36.38523983,"36.38523983,127.83916086"
Kosovo,20.87249811,42.57078707,"42.57078707,20.87249811"
Kuwait,47.58700459,29.33431262,"29.33431262,47.58700459"
Laos,103.7377241,18.50217433,"18.50217433,103.73772412"
Lebanon,35.88016072,33.92306631,"33.92306631,35.88016072"
Liberia,-9.32207573,6.45278492,"6.45278492,-9.32207573"
Libya,18.00866169,27.03094495,"27.03094495,18.00866169"
Saint Lucia,-60.96969923,13.89479481,"13.89479481,-60.96969923"
Liechtenstein,9.53574312,47.13665835,"47.13665835,9.53574312"
